reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.holsaticum,152142,152142,Mycobacterium holsaticum,JCM_12374,SRR30899510
M.tuberculosis,1773,115862,Mycobacterium caprae,CIP_105776,SRR30899417
M.crocinum,388459,388459,Mycobacterium crocinum,JCM_16369,SRR30899418
M.montefiorense,154654,154654,Mycobacterium montefiorense,DSM_44602,SRR30899518
M.tuberculosis,1773,1765,Mycobacterium bovis subsp. bovis,CIP_105234,SRR30899421
M.rhodesiae,36814,36814,Mycobacterium rhodesiae,NCTC_10779,SRR30899422
M.rufum,318424,318424,Mycobacterium rufum,JCM_16372,SRR30899428
M.paraseoulense,590652,590652,Mycobacterium paraseoulense,JCM_16952,SRR30899430
M.heidelbergense,53376,53376,Mycobacterium heidelbergense,JCM_14842,SRR30899436
M.triplex,47839,47839,Mycobacterium triplex,JCM_14744,SRR30899437
M.madagascariense,212765,212765,Mycobacterium madagascariense,JCM_13574,SRR30899438
M.kansasii,1768,1768,Mycobacterium kansasii,NCTC_10268,SRR30899439
M.diernhoferi,1801,1801,Mycobacterium diernhoferi,JCM_6371,SRR30899440
M.florentinum,292462,292462,Mycobacterium florentinum,JCM_14740,SRR30899442
M.aichiense,1799,1799,Mycobacterium aichiense,NCTC_10820,SRR30899447
M.tuberculosis,1773,1806,Mycobacterium microti,NCTC_08710,SRR30899448
M.heraklionensis,512402,512402,Mycobacterium heraklionense,NCTC_13432,SRR30899453
M.terrae,1788,1788,Mycobacterium terrae,NCTC_10856,SRR30899454
M.nonchromogenicus,1782,1782,Mycobacterium nonchromogenicum,NCTC_10424,SRR30899456
M.vanbaalenii,110539,110539,Mycobacterium vanbaalenii,JCM_13017,SRR30899460
M.chitae,1792,1792,Mycobacterium chitae,NCTC_10495,SRR30899467
M.farcinogenes,1802,1802,Mycobacterium farcinogenes,NCTC_4524,SRR32024527
M.colombiense,339268,339268,Mycobacterium colombiense,JCM_16228,SRR30899469
M.kubicae,120959,120959,Mycobacterium kubicae,JCM_13573,SRR30899477
M.vulneris,547163,547163,Mycobacterium vulneris,JCM_18115,SRR30899485
M.flavescens,1776,1776,Mycobacterium flavescens,NCTC_10271,SRR30899488
M.lacus,169765,169765,Mycobacterium lacus,JCM_15657,SRR30899492
M.confluentis,28047,28047,Mycobacterium confluentis,JCM_13671,SRR30899497
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_3631,SRR32024528
M.llatzerense,280871,280871,Mycobacterium llatzerense,JCM_16229,SRR30899503
M.septicum,98668,98668,Mycobacterium septicum,JCM_14743,SRR30899511
M.heckeshornense,110505,110505,Mycobacterium heckeshornense,JCM_15655,SRR30899515
M.shimoidei,29313,29313,Mycobacterium shimoidei,JCM_12376,SRR30899517
M.bohemicum,56425,56425,Mycobacterium bohemicum,JCM_12402,SRR30899520
M.pallens,370524,370524,Mycobacterium pallens,JCM_16370,SRR30899521
M.vaccae,1810,1810,Mycobacterium vaccae,NCTC_10916,SRR30899522
M.hassiacum,46351,46351,Mycobacterium hassiacum,JCM_12690,SRR30899523
M.chelonae,1774,2099321,Mycobacterium chelonae subsp. chelonae,NCTC_946,SRR32024523
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_8697,SRR32024524
M.intracellulare,1767,1767,Mycobacterium intracellulare,NCTC_13025,SRR32024536
M.kansasii,1768,1768,Mycobacterium kansasii,NCTC_13024,SRR32024537
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_2891,SRR32024529
M.erythropolis,1833,1833,Rhodococcus erythropolis,NCTC_13021,SRR32024538
M.farcinogenes,1802,1802,Mycobacterium farcinogenes,NCTC_10955,SRR32024549
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_2291,SRR32024530
M.szulgai,1787,1787,Mycobacterium szulgai,NCTC_10831,SRR32024551
